timestamp,icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
1613378305,484351,P4AND   ,Kingdom of the Netherlands,1613378305,1613378305,2.0214,49.0518,13555.98,False,247.04,136.1,1.63,,13555.98,5222,False,0
1613392050,4b0f8f,HBFXF   ,Switzerland,1613392050,1613392050,1.9962,49.0519,8229.6,False,157.04,144.33,0,,8382,0503,False,0
1613392075,4b0f8f,HBFXF   ,Switzerland,1613392075,1613392075,2.0273,49.0233,8229.6,False,156.74,144.48,0,,8382,0503,False,0
1613393339,4405aa,LDX7C   ,Austria,1613393339,1613393339,2.0234,49.0224,12496.8,False,245.15,29.69,0,,12512.04,2321,False,0
1613393765,02001b,RAM854  ,Morocco,1613393764,1613393764,2.0742,49.0286,10972.8,False,236.05,24.05,0,,11049,1000,False,0
1613396464,394a06,AFR006  ,France,1613396464,1613396464,2.0578,49.0428,3390.9,False,149.66,274.53,6.83,,3528.06,,False,0
1613396490,394a06,AFR006  ,France,1613396489,1613396489,2.004,49.0456,3550.92,False,164.61,274.48,6.5,,3688.08,,False,0
1613397755,39c423,AFR688  ,France,1613397754,1613397754,2.0771,49.0378,3200.4,False,134.27,270,4.55,,3329.94,,False,0
1613397779,39c423,AFR688  ,France,1613397779,1613397779,2.0288,49.0375,3307.08,False,146.62,269.4,4.55,,3436.62,,False,0
1613397875,c023c5,ACA871  ,Canada,1613397874,1613397875,2.0354,49.0442,3870.96,False,173.92,274.58,11.7,,4008.12,,False,0
1613399605,48597d,TRA76X  ,Kingdom of the Netherlands,1613399605,1613399605,2.0549,49.0189,12192,False,225.95,27.38,0,,12214.86,1000,False,0
1613399624,48597d,TRA76X  ,Kingdom of the Netherlands,1613399624,1613399624,2.0824,49.0539,12192,False,225.95,27.38,0,,12214.86,1000,False,0
1613404070,34604d,AEA1093 ,Spain,1613404069,1613404069,2.0584,49.0559,12192,False,233.62,24.87,0,,12222.48,1000,False,0
1613412780,44083b,EJU109Z ,Austria,1613412780,1613412780,2.0804,49.0252,7955.28,False,210.05,26.63,-7.48,,8130.54,1000,False,0
